runner,p_r,p_w,delta_x,delta_t,time
java,4,4,1,0.001,78.77374172210693
java,4,4,1,0.002,78.77564835548401
java,4,4,1,0.004,78.81790065765381
java,4,4,2,0.001,155.80592155456543
java,4,4,2,0.002,163.82017850875854
java,4,4,2,0.004,155.74110388755798
java,2,2,1,0.001,125.08775210380554
java,2,2,1,0.002,119.0855655670166
java,2,2,1,0.004,119.10227298736572
java,2,2,2,0.001,242.10022354125977
java,2,2,2,0.002,242.08431839942932
java,2,2,2,0.004,236.14741706848145
java,4,2,1,0.001,82.84240698814392
java,4,2,1,0.002,78.82967901229858
java,4,2,1,0.004,78.76087498664856
java,4,2,2,0.001,155.83105325698853
java,4,2,2,0.002,155.79799389839172
java,4,2,2,0.004,161.84671092033386
java,4,8,1,0.001,78.85147404670715
java,4,8,1,0.002,78.78304958343506
java,4,8,1,0.004,82.83528685569763
java,4,8,2,0.001,161.8133351802826
java,4,8,2,0.002,161.81894254684448
java,4,8,2,0.004,155.8093798160553
